 Val loss, Val accuracy, Val real pre, Val real rec, Val real F1-Score, Val fake pre, Val fake rec, Val fake F1-Score, Val micro pre, Val micro rec, Val micro F1-Score, Val macro pre, Val macro rec, Val macro F1-Score
0.383108,0.818906,0.704948,0.912196,0.795292,0.932413,0.760348,0.837635,0.818906,0.818906,0.818906,0.818681,0.836272,0.816464
0.281615,0.873786,0.799471,0.89794,0.845849,0.930569,0.858625,0.89315,0.873786,0.873786,0.873786,0.86502,0.878282,0.8695
0.280802,0.875056,0.879692,0.949222,0.913135,0.966463,0.918514,0.941878,0.875056,0.875056,0.875056,0.923077,0.933868,0.927507
0.284235,0.870555,0.92216,0.923833,0.922996,0.952135,0.951051,0.951593,0.870555,0.870555,0.870555,0.937148,0.937442,0.937294
0.266592,0.876903,0.908518,0.930029,0.919148,0.955416,0.941217,0.948264,0.876903,0.876903,0.876903,0.931967,0.935623,0.933706
0.265422,0.87781,0.884212,0.952496,0.917085,0.968663,0.921708,0.944602,0.87781,0.87781,0.87781,0.926438,0.937102,0.930843
0.251229,0.888628,0.822594,0.906755,0.862627,0.937454,0.877249,0.906353,0.888628,0.888628,0.888628,0.880024,0.892002,0.88449
0.272137,0.872429,0.788293,0.936175,0.855893,0.954589,0.842182,0.894869,0.872429,0.872429,0.872429,0.871441,0.889178,0.875381
0.265515,0.873912,0.919548,0.913757,0.916644,0.946079,0.949818,0.947945,0.873912,0.873912,0.873912,0.932813,0.931788,0.932294
0.259205,0.880646,0.90583,0.909526,0.907674,0.943064,0.940648,0.941854,0.880646,0.880646,0.880646,0.924447,0.925087,0.924764
0.265923,0.874358,0.928378,0.899149,0.91353,0.937922,0.956458,0.9471,0.874358,0.874358,0.874358,0.93315,0.927804,0.930315
0.258473,0.881018,0.893112,0.944537,0.918105,0.96388,0.929043,0.946141,0.881018,0.881018,0.881018,0.928496,0.93679,0.932123
0.248128,0.883503,0.927946,0.897234,0.912332,0.936807,0.956269,0.946438,0.883503,0.883503,0.883503,0.932377,0.926752,0.929385
0.250194,0.923615,0.860012,0.957836,0.906292,0.971499,0.902134,0.935533,0.923615,0.923615,0.923615,0.915755,0.929985,0.920912
0.243944,0.890558,0.878984,0.941817,0.909316,0.961763,0.918609,0.93969,0.890558,0.890558,0.890558,0.920374,0.930213,0.924503
0.23635,0.895543,0.934051,0.896126,0.914696,0.936419,0.960285,0.948202,0.895543,0.895543,0.895543,0.935235,0.928205,0.931449
0.231912,0.900317,0.930492,0.885447,0.907411,0.930215,0.958482,0.944137,0.900317,0.900317,0.900317,0.930354,0.921964,0.925774
0.230343,0.905043,0.881495,0.870838,0.876134,0.919536,0.926514,0.923011,0.905043,0.905043,0.905043,0.900515,0.898676,0.899573
0.229439,0.906377,0.917228,0.912145,0.91468,0.945045,0.948332,0.946686,0.906377,0.906377,0.906377,0.931137,0.930239,0.930683
0.238629,0.900165,0.926597,0.911894,0.919187,0.945241,0.954656,0.949925,0.900165,0.900165,0.900165,0.935919,0.933275,0.934556
0.225116,0.905644,0.865595,0.94635,0.904173,0.964229,0.907763,0.935144,0.905644,0.905644,0.905644,0.914912,0.927057,0.919659
0.224374,0.908328,0.913764,0.913304,0.913534,0.945598,0.945897,0.945748,0.908328,0.908328,0.908328,0.929681,0.929601,0.929641
0.225243,0.90483,0.904411,0.908921,0.906661,0.942651,0.9397,0.941173,0.90483,0.90483,0.90483,0.923531,0.924311,0.923917
0.224941,0.906142,0.938258,0.87653,0.906344,0.925572,0.963794,0.944296,0.906142,0.906142,0.906142,0.931915,0.920162,0.92532
0.22599,0.908355,0.877376,0.946501,0.910629,0.964672,0.916964,0.940213,0.908355,0.908355,0.908355,0.921024,0.931733,0.925421
